lit_num_id,doi,lit_id,first_author,year,journal,n_compounds,n_blocks,total_datapoints
GLOBlit_130,10.1007/s10765-011-1111-y,2012-sid-naq-0,"Siddique, J. A.[Jamal Akhter]",2012,Int. J. Thermophys.,7,12,286
GLOBlit_131,10.1007/s10765-011-1120-x,2012-sak-shi-0,"Sakoda, N.",2012,Int. J. Thermophys.,2,2,90
GLOBlit_132,10.1007/s10765-011-1128-2,2012-fer-ros-0,"Fernicola, V.",2012,Int. J. Thermophys.,1,1,11
GLOBlit_133,10.1007/s10765-011-1147-z,2012-pol-abd-0,"Polikhronidi, N. G.",2012,Int. J. Thermophys.,1,3,1140
GLOBlit_134,10.1007/s10765-011-1149-x,2012-prz-lod-0,"Przybyla, A.[Anna]",2012,Int. J. Thermophys.,3,5,252
GLOBlit_135,10.1007/s10765-011-1150-4,2012-shi-nie-0,"Shiflett, M. B.[Mark B.]",2012,Int. J. Thermophys.,7,15,250
GLOBlit_136,10.1007/s10765-012-1159-3,2012-elh-cai-0,"El-Hadad, O.[Omar]",2012,Int. J. Thermophys.,5,10,20
GLOBlit_137,10.1007/s10765-012-1168-2,2012-sak-shi-1,"Sakoda, N.",2012,Int. J. Thermophys.,1,1,104
GLOBlit_138,10.1007/s10765-012-1172-6,2012-hel-rau-0,"Heller, A.",2012,Int. J. Thermophys.,3,4,95
GLOBlit_139,10.1007/s10765-012-1185-1,2012-vog--0,"Vogel, E.[Eckhard]",2012,Int. J. Thermophys.,2,2,56
GLOBlit_140,10.1007/s10765-012-1233-x,2012-tom-ken-0,"Tomida, D.[Daisuke]",2012,Int. J. Thermophys.,2,6,98
GLOBlit_141,10.1007/s10765-012-1261-6,2012-mok-geo-0,"Mokdad, S.",2012,Int. J. Thermophys.,1,2,72
GLOBlit_142,10.1007/s10765-012-1309-7,2012-fan-zha-1,"Fan, J.[Jing]",2012,Int. J. Thermophys.,2,2,47
GLOBlit_143,10.1007/s10765-012-1352-4,2013-kug-jag-0,"Kugler, T.",2013,Int. J. Thermophys.,2,1,384
GLOBlit_144,10.1007/s10765-012-1370-2,2014-miy--0,"Miyamoto, H.",2014,Int. J. Thermophys.,2,1,281
GLOBlit_145,10.1007/s10765-012-1371-1,2013-mon-art-0,"Montano, D.",2013,Int. J. Thermophys.,5,11,581
GLOBlit_146,10.1007/s10765-012-1373-z,2013-sag-fom-1,"Sagdeev, D.[Damir]",2013,Int. J. Thermophys.,1,2,104
GLOBlit_147,10.1007/s10765-012-1383-x,2014-ito-nag-0,"Ito, T.[Takayoshi]",2014,Int. J. Thermophys.,3,3,198
GLOBlit_148,10.1007/s10765-013-1404-4,2013-tra-khi-2,"Trache, D.[Djalal]",2013,Int. J. Thermophys.,5,22,86
GLOBlit_149,10.1007/s10765-013-1432-0,2013-riy-gaz-0,Riyazuddeen,2013,Int. J. Thermophys.,6,8,264
GLOBlit_150,10.1007/s10765-013-1468-1,2013-pen-din-0,"Peng, Q.[Qiang]",2013,Int. J. Thermophys.,2,4,4
GLOBlit_151,10.1007/s10765-013-1469-0,2013-ziv-ser-0,"Zivkovic, N.[Nikola]",2013,Int. J. Thermophys.,2,9,390
GLOBlit_152,10.1007/s10765-013-1483-2,2013-sus-est-0,"Susial, P.[Pedro]",2013,Int. J. Thermophys.,4,19,215
GLOBlit_153,10.1007/s10765-013-1487-y,2014-dio-cae-0,"Diogo, J. C. F.[Joao C.F.]",2014,Int. J. Thermophys.,3,5,47
GLOBlit_154,10.1007/s10765-013-1491-2,2013-cal-dio-0,"Calado, M. S.[Marta S.]",2013,Int. J. Thermophys.,4,4,36
GLOBlit_155,10.1007/s10765-013-1492-1,2013-lav-sar-0,"Lavanya, T. G.",2013,Int. J. Thermophys.,3,15,229
GLOBlit_156,10.1007/s10765-013-1526-8,2013-bha-san-0,"Bhatia, S. C.[Subhash C.]",2013,Int. J. Thermophys.,4,28,624
GLOBlit_157,10.1007/s10765-013-1527-7,2013-nat-tri-0,"Nath, G.",2013,Int. J. Thermophys.,2,6,50
GLOBlit_158,10.1007/s10765-013-1539-3,2013-bog-nez-0,"Bogatyrev, A. F.[Alexander Fyodorovich]",2013,Int. J. Thermophys.,6,5,220
GLOBlit_159,10.1007/s10765-013-1546-4,2015-men-gu-0,"Meng, X.[Xianyang]",2015,Int. J. Thermophys.,1,3,104
GLOBlit_160,10.1007/s10765-013-1553-5,2014-fed-din-0,"Fedele, L.[Laura]",2014,Int. J. Thermophys.,1,1,64
GLOBlit_161,10.1007/s10765-014-1598-0,2014-gus-abd-0,"Guseinov, G. G.",2014,Int. J. Thermophys.,2,2,115
GLOBlit_162,10.1007/s10765-014-1617-1,2014-kol-sch-0,"Koller, T. M.[Thomas M.]",2014,Int. J. Thermophys.,9,25,240
GLOBlit_163,10.1007/s10765-014-1718-x,2014-wan-zha-1,"Wang, S.[Sheng]",2014,Int. J. Thermophys.,1,4,82
GLOBlit_164,10.1007/s10765-014-1730-1,2014-fed-bro-0,"Fedele, L.[Laura]",2014,Int. J. Thermophys.,1,2,411
GLOBlit_165,10.1007/s10765-014-1740-z,2014-wu-gu-0,"Wu, J.[Jianguo]",2014,Int. J. Thermophys.,9,9,81
GLOBlit_166,10.1007/s10765-014-1759-1,2015-elh-cai-0,"El-Hadad, O.[Omar]",2015,Int. J. Thermophys.,5,10,20
GLOBlit_167,10.1007/s10765-014-1828-5,2015-tak-hos-0,"Takeda, O.[Osamu]",2015,Int. J. Thermophys.,4,4,69
