quantity_key,preferred_name,component_linked,available_roles,role_count,translation_status,equivalence_basis,prop_num_id,prop_name,prop_group,var_num_id,var_name,var_type_key,constr_num_id,constr_name,constr_type_key
lower_temperature_k,"Lower temperature, K",0,variable,1,single_role,exact_canonical_template,,,,GLOBvar_27,"Lower temperature, K",eTemperature,,,
mass_concentration_kg_m3,"Mass concentration, kg/m3",0,property,1,single_role,exact_canonical_template,GLOBprop_66,"Mass concentration, kg/m3",CompositionAtPhaseEquilibrium,,,,,,
mass_concentration_kg_m3_{DOIcomp_id},"Mass concentration, kg/m3",1,property,1,single_role,exact_canonical_template,GLOBprop_51,"Mass concentration, kg/m3",CompositionAtPhaseEquilibrium,,,,,,
mass_density_kg_m3,"Mass density, kg/m3",0,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_1,"Mass density, kg/m3",VolumetricProp,GLOBvar_21,"Mass density, kg/m3",eMiscellaneous,GLOBconstr_23,"Mass density, kg/m3",eMiscellaneous
mass_fraction_{DOIcomp_id},Mass fraction,1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_6,Mass fraction,CompositionAtPhaseEquilibrium,GLOBvar_5,Mass fraction,eComponentComposition,GLOBconstr_5,Mass fraction,eComponentComposition
mass_ratio_of_solute_to_solvent,Mass ratio of solute to solvent,0,property,1,single_role,exact_canonical_template,GLOBprop_79,Mass ratio of solute to solvent,CompositionAtPhaseEquilibrium,,,,,,
mass_ratio_of_solute_to_solvent_{DOIcomp_id},Mass ratio of solute to solvent,1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_35,Mass ratio of solute to solvent,CompositionAtPhaseEquilibrium,GLOBvar_15,Mass ratio of solute to solvent,eComponentComposition,GLOBconstr_21,Mass ratio of solute to solvent,eComponentComposition
mean_ionic_activity_coefficient_{DOIcomp_id},Mean ionic activity coefficient,1,property,1,single_role,exact_canonical_template,GLOBprop_56,Mean ionic activity coefficient,ActivityFugacityOsmoticProp,,,,,,
molality_mol_kg,"Molality, mol/kg",0,property,1,single_role,exact_canonical_template,GLOBprop_53,"Molality, mol/kg",CompositionAtPhaseEquilibrium,,,,,,
molality_mol_kg_{DOIcomp_id},"Molality, mol/kg",1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_21,"Molality, mol/kg",CompositionAtPhaseEquilibrium,GLOBvar_4,"Molality, mol/kg",eComponentComposition,GLOBconstr_8,"Molality, mol/kg",eComponentComposition
molar_conductivity_s_m2_mol,"Molar conductivity, S*m2/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_37,"Molar conductivity, S*m2/mol",TransportProp,,,,,,
molar_enthalpy_function_hm_t_hm_0_t_j_k_mol,"Molar enthalpy function {Hm(T)-Hm(0)}/T, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_50,"Molar enthalpy function {Hm(T)-Hm(0)}/T, J/K/mol",HeatCapacityAndDerivedProp,,,,,,
molar_enthalpy_kj_mol,"Molar enthalpy, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_22,"Molar enthalpy, kJ/mol",HeatCapacityAndDerivedProp,,,,,,
molar_enthalpy_of_dilution_kj_mol,"Molar enthalpy of dilution, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_46,"Molar enthalpy of dilution, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
molar_enthalpy_of_mixing_with_solvent_kj_mol_{DOIcomp_id},"Molar enthalpy of mixing with solvent, kJ/mol",1,property,1,single_role,exact_canonical_template,GLOBprop_86,"Molar enthalpy of mixing with solvent, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
molar_enthalpy_of_reaction_kj_mol,"Molar enthalpy of reaction, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_36,"Molar enthalpy of reaction, kJ/mol",ReactionStateChangeProp,,,,,,
molar_enthalpy_of_solution_kj_mol,"Molar enthalpy of solution, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_15,"Molar enthalpy of solution, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
molar_enthalpy_of_transition_or_fusion_kj_mol,"Molar enthalpy of transition or fusion, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_10,"Molar enthalpy of transition or fusion, kJ/mol",PhaseTransition,,,,,,
molar_enthalpy_of_vaporization_or_sublimation_kj_mol,"Molar enthalpy of vaporization or sublimation, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_19,"Molar enthalpy of vaporization or sublimation, kJ/mol",PhaseTransition,,,,,,
molar_entropy_j_k_mol,"Molar entropy, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_30,"Molar entropy, J/K/mol",HeatCapacityAndDerivedProp,,,,,,
molar_entropy_of_reaction_j_k_mol,"Molar entropy of reaction, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_110,"Molar entropy of reaction, J/K/mol",ReactionStateChangeProp,,,,,,
molar_gibbs_energy_of_reaction_kj_mol,"Molar Gibbs energy of reaction, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_65,"Molar Gibbs energy of reaction, kJ/mol",ReactionStateChangeProp,,,,,,
molar_heat_capacity_at_constant_pressure_j_k_mol,"Molar heat capacity at constant pressure, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_9,"Molar heat capacity at constant pressure, J/K/mol",HeatCapacityAndDerivedProp,,,,,,
molar_heat_capacity_at_constant_volume_j_k_mol,"Molar heat capacity at constant volume, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_72,"Molar heat capacity at constant volume, J/K/mol",HeatCapacityAndDerivedProp,,,,,,
molar_heat_capacity_at_saturation_pressure_j_k_mol,"Molar heat capacity at saturation pressure, J/K/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_43,"Molar heat capacity at saturation pressure, J/K/mol",HeatCapacityAndDerivedProp,,,,,,
molar_internal_energy_of_reaction_at_constant_volume_kj_mol,"Molar internal energy of reaction at constant volume, kJ/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_68,"Molar internal energy of reaction at constant volume, kJ/mol",ReactionStateChangeProp,,,,,,
molar_volume_m3_mol,"Molar volume, m3/mol",0,property,1,single_role,exact_canonical_template,GLOBprop_41,"Molar volume, m3/mol",VolumetricProp,,,,,,
mole_fraction_in_llg_critical_state_{DOIcomp_id},Mole fraction in LLG critical state,1,property,1,single_role,exact_canonical_template,GLOBprop_106,Mole fraction in LLG critical state,CompositionAtPhaseEquilibrium,,,,,,
mole_fraction_{DOIcomp_id},Mole fraction,1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_2,Mole fraction,CompositionAtPhaseEquilibrium,GLOBvar_2,Mole fraction,eComponentComposition,GLOBconstr_3,Mole fraction,eComponentComposition
monotectic_composition_mole_fraction_{DOIcomp_id},Monotectic composition: mole fraction,1,property,1,single_role,exact_canonical_template,GLOBprop_107,Monotectic composition: mole fraction,CompositionAtPhaseEquilibrium,,,,,,
monotectic_temperature_k,"Monotectic temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_82,"Monotectic temperature, K",PhaseTransition,,,,,,
normal_boiling_temperature_k,"Normal boiling temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_26,"Normal boiling temperature, K",VaporPBoilingTAzeotropTandP,,,,,,
normal_melting_temperature_k,"Normal melting temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_12,"Normal melting temperature, K",PhaseTransition,,,,,,
osmotic_coefficient,Osmotic coefficient,0,property,1,single_role,exact_canonical_template,GLOBprop_38,Osmotic coefficient,ActivityFugacityOsmoticProp,,,,,,
ostwald_coefficient,Ostwald coefficient,0,property,1,single_role,exact_canonical_template,GLOBprop_89,Ostwald coefficient,CompositionAtPhaseEquilibrium,,,,,,
partial_molar_enthalpy_kj_mol_{DOIcomp_id},"Partial molar enthalpy, kJ/mol",1,property,1,single_role,exact_canonical_template,GLOBprop_75,"Partial molar enthalpy, kJ/mol",ExcessPartialApparentEnergyProp,,,,,,
partial_molar_volume_m3_mol_{DOIcomp_id},"Partial molar volume, m3/mol",1,property,1,single_role,exact_canonical_template,GLOBprop_84,"Partial molar volume, m3/mol",VolumetricProp,,,,,,
partial_pressure_kpa_{DOIcomp_id},"Partial pressure, kPa",1,property,1,single_role,exact_canonical_template,GLOBprop_80,"Partial pressure, kPa",CompositionAtPhaseEquilibrium,,,,,,
peritectic_temperature_k,"Peritectic temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_93,"Peritectic temperature, K",PhaseTransition,,,,,,
pressure_kpa,"Pressure, kPa",0,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_3,"Pressure, kPa",ePressure,GLOBconstr_1,"Pressure, kPa",ePressure
pressure_kpa_{DOIcomp_id},"Pressure, kPa",1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_10,"Pressure, kPa",ePressure,GLOBconstr_18,"Pressure, kPa",ePressure
quadruple_quintuple_point_temperature_k,"Quadruple (quintuple) point temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_70,"Quadruple (quintuple) point temperature, K",PhaseTransition,,,,,,
ratio_of_amount_of_solute_to_mass_of_solution_mol_kg_{DOIcomp_id},"Ratio of amount of solute to mass of solution, mol/kg",1,property|variable|constraint,3,cross_role_exact,exact_canonical_template,GLOBprop_108,"Ratio of amount of solute to mass of solution, mol/kg",CompositionAtPhaseEquilibrium,GLOBvar_20,"Ratio of amount of solute to mass of solution, mol/kg",eComponentComposition,GLOBconstr_17,"Ratio of amount of solute to mass of solution, mol/kg",eComponentComposition
ratio_of_mass_of_solute_to_volume_of_solution_kg_m3_{DOIcomp_id},"Ratio of mass of solute to volume of solution, kg/m3",1,variable,1,single_role,exact_canonical_template,,,,GLOBvar_24,"Ratio of mass of solute to volume of solution, kg/m3",eComponentComposition,,,
refractive_index_na_dline,Refractive index (Na D-line),0,property,1,single_role,exact_canonical_template,GLOBprop_7,Refractive index (Na D-line),RefractionSurfaceTensionSoundSpeed,,,,,,
refractive_index_other_wavelength,Refractive index (other wavelength),0,property,1,single_role,exact_canonical_template,GLOBprop_39,Refractive index (other wavelength),RefractionSurfaceTensionSoundSpeed,,,,,,
relative_activity_{DOIcomp_id},(Relative) activity,1,property,1,single_role,exact_canonical_template,GLOBprop_33,(Relative) activity,ActivityFugacityOsmoticProp,,,,,,
relative_permittivity_at_various_frequencies,Relative permittivity at various frequencies,0,property,1,single_role,exact_canonical_template,GLOBprop_42,Relative permittivity at various frequencies,RefractionSurfaceTensionSoundSpeed,,,,,,
relative_permittivity_at_zero_frequency,Relative permittivity at zero frequency,0,property,1,single_role,exact_canonical_template,GLOBprop_44,Relative permittivity at zero frequency,RefractionSurfaceTensionSoundSpeed,,,,,,
self_diffusion_coefficient_m2_s,"Self diffusion coefficient, m2/s",0,property,1,single_role,exact_canonical_template,GLOBprop_83,"Self diffusion coefficient, m2/s",TransportProp,,,,,,
solidliquid_equilibrium_temperature_k,"Solid-liquid equilibrium temperature, K",0,property,1,single_role,exact_canonical_template,GLOBprop_11,"Solid-liquid equilibrium temperature, K",PhaseTransition,,,,,,
solvent_amount_concentration_molarity_mol_dm3_{DOIcomp_id},"Solvent: Amount concentration (molarity), mol/dm3",1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_11,"Solvent: Amount concentration (molarity), mol/dm3",eSolventComposition,GLOBconstr_11,"Solvent: Amount concentration (molarity), mol/dm3",eSolventComposition
solvent_amount_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Amount ratio of component to other component of binary solvent,1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_14,Solvent: Amount ratio of component to other component of binary solvent,eSolventComposition,GLOBconstr_15,Solvent: Amount ratio of component to other component of binary solvent,eSolventComposition
solvent_mass_fraction_{DOIcomp_id},Solvent: Mass fraction,1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_7,Solvent: Mass fraction,eSolventComposition,GLOBconstr_10,Solvent: Mass fraction,eSolventComposition
solvent_mass_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Mass ratio of component to other component of binary solvent,1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_23,Solvent: Mass ratio of component to other component of binary solvent,eSolventComposition,GLOBconstr_19,Solvent: Mass ratio of component to other component of binary solvent,eSolventComposition
solvent_molality_mol_kg_{DOIcomp_id},"Solvent: Molality, mol/kg",1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_6,"Solvent: Molality, mol/kg",eSolventComposition,GLOBconstr_6,"Solvent: Molality, mol/kg",eSolventComposition
solvent_mole_fraction_{DOIcomp_id},Solvent: Mole fraction,1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_8,Solvent: Mole fraction,eSolventComposition,GLOBconstr_7,Solvent: Mole fraction,eSolventComposition
solvent_ratio_of_amount_of_component_to_mass_of_solvent_mol_kg_{DOIcomp_id},"Solvent: Ratio of amount of component to mass of solvent, mol/kg",1,variable,1,single_role,exact_canonical_template,,,,GLOBvar_29,"Solvent: Ratio of amount of component to mass of solvent, mol/kg",eSolventComposition,,,
solvent_ratio_of_component_mass_to_volume_of_solvent_kg_m3_{DOIcomp_id},"Solvent: Ratio of component mass to volume of solvent, kg/m3",1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_26,"Solvent: Ratio of component mass to volume of solvent, kg/m3",eSolventComposition,GLOBconstr_24,"Solvent: Ratio of component mass to volume of solvent, kg/m3",eSolventComposition
solvent_volume_fraction_{DOIcomp_id},Solvent: Volume fraction,1,variable|constraint,2,cross_role_exact,exact_canonical_template,,,,GLOBvar_16,Solvent: Volume fraction,eSolventComposition,GLOBconstr_20,Solvent: Volume fraction,eSolventComposition
solvent_volume_ratio_of_component_to_other_component_of_binary_solvent_{DOIcomp_id},Solvent: Volume ratio of component to other component of binary solvent,1,variable,1,single_role,exact_canonical_template,,,,GLOBvar_25,Solvent: Volume ratio of component to other component of binary solvent,eSolventComposition,,,
specific_heat_capacity_at_constant_pressure_j_k_kg,"Specific heat capacity at constant pressure, J/K/kg",0,property,1,single_role,exact_canonical_template,GLOBprop_81,"Specific heat capacity at constant pressure, J/K/kg",HeatCapacityAndDerivedProp,,,,,,
