meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_173,gas_stripping_method,gas stripping method,custom,169,2
GLOBmeas_174,laser_monitoring_observation_technique,laser monitoring observation technique,custom,169,4
GLOBmeas_175,ebullio_ufactor_16,EBULLIO:UFactor:16,custom,167,1
GLOBmeas_176,vibtub_ufactor_32,VIBTUB:UFactor:32,custom,163,2
GLOBmeas_177,ebullio_ufactor_32,EBULLIO:UFactor:32,custom,161,1
GLOBmeas_178,visobs_ufactor_2,VISOBS:UFactor:2,custom,160,2
GLOBmeas_179,vibtub_ufactor_12,VIBTUB:UFactor:12,custom,158,2
GLOBmeas_180,visobs_ufactor_8,VISOBS:UFactor:8,custom,157,2
GLOBmeas_181,fpint_ufactor_2,FPINT:UFactor:2,custom,154,2
GLOBmeas_182,laser_monitoring,laser monitoring,custom,152,3
GLOBmeas_183,relaxcal,RELAXCAL,custom,149,1
GLOBmeas_184,pycnom_ufactor_2,PYCNOM:UFactor:2,custom,146,2
GLOBmeas_185,calculated_from_emf_cell_potential,Calculated from EMF cell potential,custom,144,1
GLOBmeas_186,uv_vis_spectrophotometry,UV-Vis spectrophotometry,custom,143,10
GLOBmeas_187,unknown,UNKNOWN,custom,142,3
GLOBmeas_188,nmr,NMR,custom,128,1
GLOBmeas_189,chrom_ufactor_16,CHROM:UFactor:16,custom,127,1
GLOBmeas_190,lvpai_ufactor_2,LVPAI:UFactor:2,custom,124,2
GLOBmeas_191,pulse_heating_method,pulse-heating method,custom,122,4
GLOBmeas_192,wilhelmy_plate_method,Wilhelmy plate method,custom,121,5
GLOBmeas_193,thotw,THOTW,custom,118,1
GLOBmeas_194,lvpai_ufactor_4,LVPAI:UFactor:4,custom,112,2
GLOBmeas_195,uv_spectrophotometry,UV spectrophotometry,custom,110,3
GLOBmeas_196,titr_ufactor_2,TITR:UFactor:2,custom,108,1
GLOBmeas_197,uv_spectra,UV Spectra,custom,105,3
GLOBmeas_198,capillary_flow,Capillary flow,custom,102,1
GLOBmeas_199,hplc,HPLC,custom,102,1
GLOBmeas_200,flow_ufactor_2,FLOW:UFactor:2,custom,100,1
GLOBmeas_201,visobs_ufactor_16,VISOBS:UFactor:16,custom,100,1
GLOBmeas_202,ccell_ufactor_16,CCELL:UFactor:16,custom,96,1
GLOBmeas_203,vibtub_ufactor_3,VIBTUB:UFactor:3,custom,94,2
GLOBmeas_204,spectrophotometry,Spectrophotometry,custom,91,2
GLOBmeas_205,captub_ufactor_16,CAPTUB:UFactor:16,custom,90,2
GLOBmeas_206,fpint_ufactor_4,FPINT:UFactor:4,custom,88,2
GLOBmeas_207,same_ufactor_2,SAME:UFactor:2,custom,88,1
GLOBmeas_208,calvet_microcalorimetry,Calvet microcalorimetry,custom,87,3
GLOBmeas_209,fpint_ufactor_8,FPINT:UFactor:8,custom,84,2
GLOBmeas_210,surface_laser_light_scattering_slls,Surface laser light scattering (SLLS),custom,81,1
GLOBmeas_211,gravimetric_analysis,gravimetric analysis,custom,79,3
GLOBmeas_212,pycnom_ufactor_16,PYCNOM:UFactor:16,custom,78,2
GLOBmeas_213,dilutor_technique,dilutor technique,custom,76,2
GLOBmeas_214,wilhelmy_plate,Wilhelmy Plate,custom,76,3
GLOBmeas_215,vadiac_ufactor_4,VADIAC:UFactor:4,custom,75,1
GLOBmeas_216,concyl_ufactor_4,CONCYL:UFactor:4,custom,74,2
GLOBmeas_217,visual_observation,visual observation,custom,74,4
GLOBmeas_218,calculated_from_henry_s_law_constants,calculated from henry's law constants,custom,72,1
GLOBmeas_219,conductometric,conductometric,custom,71,1
GLOBmeas_220,isopiestic_method,isopiestic method,custom,71,2
GLOBmeas_221,volumetric,volumetric,custom,69,2
GLOBmeas_222,ebullio_ufactor_6,EBULLIO:UFactor:6,custom,68,2
GLOBmeas_223,ebullio_ufactor_64,EBULLIO:UFactor:64,custom,67,1
GLOBmeas_224,flow_ufactor_4,FLOW:UFactor:4,custom,67,1
GLOBmeas_225,spectra,Spectra,custom,67,3
GLOBmeas_226,cloud_point_method,Cloud Point Method,custom,63,5
GLOBmeas_227,captub_ufactor_3,CAPTUB:UFactor:3,custom,61,1
