comp_num_id,comp_id,inchi_key,common_name,formula,smiles,standard_inchi,n_papers
GLOBcomp_4794,potassium_tetrahydroborate,ICRGAIPBTSPUEX-UHFFFAOYSA-N,potassium tetrahydroborate,BH4K,[BH4-].[K+],InChI=1S/BH4.K/h1H4;/q-1;+1,1
GLOBcomp_4795,"2-endo,3-exo,5-endo,6-exo,8,8,9,10,10-nonachlorobornane",ICTWAJXDCVGTJO-DVEWFSKLSA-N,"2-endo,3-exo,5-endo,6-exo,8,8,9,10,10-nonachlorobornane",C10H9Cl9,ClC[C@@]1(C(Cl)Cl)C2[C@@H](Cl)[C@H](Cl)C1(C(Cl)Cl)[C@@H](Cl)[C@@H]2Cl,"InChI=1S/C10H9Cl9/c11-1-9(7(16)17)2-3(12)5(14)10(9,8(18)19)6(15)4(2)13/h2-8H,1H2/t2?,3-,4-,5+,6+,9+,10?/m1/s1",1
GLOBcomp_4796,"2-exo,3-endo,5-exo,6-exo,8,8,9,10,10-nonachlorobornane",ICTWAJXDCVGTJO-QCCKQLIESA-N,"2-exo,3-endo,5-exo,6-exo,8,8,9,10,10-nonachlorobornane",C10H9Cl9,ClC[C@]1(C(Cl)Cl)C2[C@@H](Cl)[C@@H](Cl)C1(C(Cl)Cl)[C@@H](Cl)[C@@H]2Cl,"InChI=1S/C10H9Cl9/c11-1-9(7(16)17)2-3(12)5(14)10(9,8(18)19)6(15)4(2)13/h2-8H,1H2/t2?,3-,4-,5-,6+,9-,10?/m1/s1",1
GLOBcomp_4797,tylosin_tartrate,ICVKYYINQHWDLM-KBEWXLTPSA-N,tylosin tartrate,C50H83NO23,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC.O=C(O)[C@H](O)[C@@H](O)C(=O)O,"InChI=1S/C46H77NO17.C4H6O6/c1-13-33-30(22-58-45-42(57-12)41(56-11)37(52)26(5)60-45)18-23(2)14-15-31(49)24(3)19-29(16-17-48)39(25(4)32(50)20-34(51)62-33)64-44-38(53)36(47(9)10)40(27(6)61-44)63-35-21-46(8,55)43(54)28(7)59-35;5-1(3(7)8)2(6)4(9)10/h14-15,17-18,24-30,32-33,35-45,50,52-55H,13,16,19-22H2,1-12H3;1-2,5-6H,(H,7,8)(H,9,10)/b15-14+,23-18+;/t24-,25+,26-,27-,28+,29+,30-,32-,33-,35+,36-,37-,38-,39-,40-,41-,42-,43+,44+,45-,46-;1-,2-/m11/s1",1
GLOBcomp_4798,zinc(ii)_metaborate_trihydrate_(2zno*2b2o3*3h2o),ICXMHAVEXJSKLS-UHFFFAOYSA-N,zinc(II) metaborate trihydrate (2ZnO*2B2O3*3H2O),B4H6O11Zn2,O.O.O.O=B[O-].O=B[O-].O=B[O-].O=B[O-].[Zn+2].[Zn+2],InChI=1S/4BO2.3H2O.2Zn/c4*2-1-3;;;;;/h;;;;3*1H2;;/q4*-1;;;;2*+2,1
GLOBcomp_4799,cefamandole_nafate,ICZOIXFFVKYXOM-YCLOEFEOSA-M,cefamandole nafate,C19H17N6NaO6S2,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N=C([O-])[C@H](OC=O)c3ccccc3)[C@H]2SC1.[Na+],"InChI=1S/C19H18N6O6S2.Na/c1-24-19(21-22-23-24)33-8-11-7-32-17-12(16(28)25(17)13(11)18(29)30)20-15(27)14(31-9-26)10-5-3-2-4-6-10;/h2-6,9,12,14,17H,7-8H2,1H3,(H,20,27)(H,29,30);/q;+1/p-1/t12-,14-,17-;/m1./s1",1
GLOBcomp_4800,copper_tetra-4-tert-butylphthalocyanine,IDACJLJAKMQWEW-UHFFFAOYSA-N,copper tetra-4-tert-butylphthalocyanine,C48H48CuN8,CC(C)(C)c1ccc2c(c1)-c1nc3nc(nc4[n-]c([n-]c5nc(nc-2n1)-c1cc(C(C)(C)C)ccc1-5)c1cc(C(C)(C)C)ccc41)-c1cc(C(C)(C)C)ccc1-3.[Cu+2],"InChI=1S/C48H48N8.Cu/c1-45(2,3)25-13-17-29-33(21-25)41-49-37(29)54-42-35-23-27(47(7,8)9)15-19-31(35)39(51-42)56-44-36-24-28(48(10,11)12)16-20-32(36)40(52-44)55-43-34-22-26(46(4,5)6)14-18-30(34)38(50-43)53-41;/h13-24H,1-12H3;/q-2;+2",1
GLOBcomp_4801,"n,n-bis(2-hydroxyethyl)-n-methyloctan-1-aminium_bromide",IDECBPHTOJUOLM-UHFFFAOYSA-M,"N,N-bis(2-hydroxyethyl)-N-methyloctan-1-aminium bromide",C13H30BrNO2,CCCCCCCC[N+](C)(CCO)CCO.[Br-],"InChI=1S/C13H30NO2.BrH/c1-3-4-5-6-7-8-9-14(2,10-12-15)11-13-16;/h15-16H,3-13H2,1-2H3;1H/q+1;/p-1",1
GLOBcomp_4802,"2,2-dichloroethanol",IDJOCJAIQSKSOP-UHFFFAOYSA-N,"2,2-dichloroethanol",C2H4Cl2O,OCC(Cl)Cl,"InChI=1S/C2H4Cl2O/c3-2(4)1-5/h2,5H,1H2",1
GLOBcomp_4803,"pyridine,_2,4,6-tris(1,1-dimethylethyl)-",IDOFMGSESVXXQI-UHFFFAOYSA-N,"pyridine, 2,4,6-tris(1,1-dimethylethyl)-",C17H29N,CC(C)(C)c1cc(C(C)(C)C)nc(C(C)(C)C)c1,"InChI=1S/C17H29N/c1-15(2,3)12-10-13(16(4,5)6)18-14(11-12)17(7,8)9/h10-11H,1-9H3",1
